Geo Hierarchy - Geo;Geo Hierarchy - Country;Call Center;Case Number;Case Status;Case Created On Date;Completion Date;Agent Name;Service Account;Agreement Type;Problem Code Category;Problem Code;Resolution Code;Product Family;Model Name;Origin;First Work Order Number;Work Order Number;Work Order Address;Serial Number;# of TSC Break Fix Resolved Cases;# of Service Fix Resolved Cases
North America;Canada;Call Center : Rabat CA;CAS-4497648-W1Q9W2;Resolved;21/01/2025;24/01/2025;Houda El Maaroufi;   Commercial Laser Technologies Inc.;Concession;Print Quality;Vertical Dark Streaks;;MS81x;MS811dn;Phone;;;;406347990P92M;1;0
North America;Canada;Call Center : Rabat CA;CAS-4544087-V2F9Z2;Resolved;04/02/2025;04/02/2025;Aicha Lamzoudi; Armor Alloys Ltd;Extended Warranty;Print Quality;Light or Faded Print;;MX81x;MX810dtfe;Phone;;;;74633699059V4;1;0
North America;Canada;Call Center : Rabat CA;CAS-4479578-D6K6S5;Resolved;15/01/2025;20/01/2025;Nassima Azzouzi; CITY OF BRANDON;Extended Warranty;Software;Firmware Upgrade Request;;MX72x;MX722ade;Support.Lexmark.Com;;;;74642131258MC;1;0
North America;Canada;Call Center : Rabat CA;CAS-4485376-G3F3T3;Resolved;16/01/2025;16/01/2025;Houssam El Jaouhari; CTIAI Inc.;Base Warranty;Numeric Error Codes;32.40;;MX33x;MX331adn;Phone;;;;701923510B4GX;1;0
North America;Canada;Call Center : Rabat CA;CAS-4484892-X2F7C4;Resolved;16/01/2025;16/01/2025;Houssam El Jaouhari; CTIAI Inc.;Base Warranty;Numeric Error Codes;32.40;;MX33x;MX331adn;Phone;;;;701924210CP0K;1;0
North America;Canada;Call Center : Rabat CA;CAS-4595821-Q1T6W6;Resolved;19/02/2025;19/02/2025;Houssam El Jaouhari; Gokhale Himanshu;Base Warranty;Connectivity Issues;Wireless Setup Assistance or Inquiry;;MS32x;B2338dw;Phone;;;;460092630XVX6;1;0
North America;Canada;Call Center : Rabat CA;CAS-4556638-G6S7T1;Resolved;07/02/2025;07/02/2025;Hind Saffouri; Grande Tire;Base Warranty;Solutions;Inquiry;;MS42x;B2442dw;Phone;;;;46008231069H7;1;0
North America;Canada;Call Center : Rabat CA;CAS-4567676-M3D9N9;Resolved;11/02/2025;11/02/2025;Nassima Azzouzi; Grande Tire;Base Warranty;Intervention Messages;Load Paper;;MS42x;B2442dw;Phone;;;;46008231069H7;1;0
North America;Canada;Call Center : Rabat CA;CAS-4624081-K5H7H6;Resolved;28/02/2025;28/02/2025;Yassir Telgua; John Kinght;Base Warranty;Software;Connectivity Issue;;CX23x;MC3224i;Phone;;;;350024213HGL7;1;0
North America;Canada;Call Center : Rabat CA;CAS-4526211-T6M1L6;Resolved;29/01/2025;29/01/2025;Zineb Makrane; Maryanne Deucette;Base Warranty;Software;Not able to scan;;CX43x;MC3426adw;Phone;;;;3500044015W91;1;0
North America;Canada;Call Center : Rabat CA;CAS-4526227-Y7R9S4;Resolved;29/01/2025;29/01/2025;Zineb Makrane; Maryanne Deucette;Base Warranty;Software;Not able to scan;;CX43x;MC3426adw;Phone;;;;3500044015W91;1;0
North America;Canada;Call Center : Rabat CA;CAS-4449417-S1H4C2;Active;06/01/2025;09/01/2025;Badr Eddine El Alami; Murray Mazda;Base Warranty;Numeric Error Codes;280.01;;MX43x;MX431adw;Phone;;;;701935040KL2Z;1;1
North America;Canada;Call Center : Rabat CA;CAS-4497908-T5G0C6;Resolved;21/01/2025;28/01/2025;Nassima Azzouzi; Murray Mazda;Base Warranty;Intervention Messages;Close Printer Door Cover;;MX43x;MX431adw;Chat;;;;701935040KL2Z;1;1
North America;Canada;Call Center : Rabat CA;CAS-4501177-S2F5J9;Resolved;22/01/2025;22/01/2025;Zineb Makrane; Myers Welding INC.;Base Warranty;A Specific Problem Code Not Found;Specific Problem Code Not Found;;CX23x;MC3224adwe;Phone;;;;3500949012CTF;1;0
North America;Canada;Call Center : Rabat CA;CAS-4481504-W9R3N7;Resolved;16/01/2025;16/01/2025;Houssam El Jaouhari; Naomi Sayers;Base Warranty;Supply Item Issues;Supply Item Toner Insufficient Yield;;CX43x;MC3426adw;Phone;;;;35000480169KW;1;0
North America;Canada;Call Center : Rabat CA;CAS-4554452-X5Y2J9;Resolved;06/02/2025;17/02/2025;Houssam El Jaouhari;?Philp N. Williams;;Software;eSF Configuration/Settings;;MX51x;XM1145;Phone;;;;70155PHH0ZPKF;1;0
North America;Canada;Call Center : Rabat CA;CAS-4530827-B0P7K9;Resolved;30/01/2025;04/02/2025;Zineb Makrane; Stuart Wesley;Concession;Print Quality;Horizontal Lines or Bands;;CX31x;CX310n;Phone;;;;7527339462TX4;1;0
North America;Canada;Call Center : Rabat CA;CAS-4511731-P5K9C8;Resolved;24/01/2025;31/01/2025;Badr Eddine El Alami; Sunrise Remedy’s RX Pharmacy;Concession;Print Quality;Light or Faded Print;;MX41x;MX417de;Phone;;;;70157PLM1L05L;1;0
North America;Canada;Call Center : Rabat CA;CAS-4563304-P7B1R7;Resolved;10/02/2025;10/02/2025;Houssam El Jaouhari;?Zachary Swain;Base Warranty;Connectivity Issues;Wireless Setup Assistance or Inquiry;;MS22x;B2236dw;Phone;;;;1400100107THT;1;0
North America;United States;Call Center : Rabat CA;CAS-4589827-K8P6H3;Resolved;18/02/2025;18/02/2025;Zineb Makrane;A Couple Of Gurus;Base Warranty;Numeric Error Codes;950.10;;CX33x;MC3326adwe;Phone;;;;3500944011YLV;1;0
North America;Canada;Call Center : Rabat CA;CAS-4662619-J5X6X0;Resolved;11/03/2025;11/03/2025;Aicha Lamzoudi;Accountec;Base Warranty;Software;Connectivity Issue;;MS31x;MS312dn;Phone;;;;45146PLM3CLGV;1;0
North America;Canada;Call Center : Rabat CA;CAS-4557654-V8B4D1;Resolved;07/02/2025;07/02/2025;Zineb Makrane;Acklands Grainger Inc;Extended Warranty;Intervention Messages;Load Paper;;MS81x;MS810n;Phone;;;;40637D6603DC4;1;0
North America;Canada;Call Center : Rabat CA;CAS-4577119-R3S2F8;Resolved;13/02/2025;13/02/2025;Aicha Lamzoudi;Acklands-Grainger, Inc.;Base Warranty;Print Quality;Void On Printed Page;;MX43x;MX431adn;Phone;;;;701941140LRYP;1;0
North America;Canada;Call Center : Rabat CA;CAS-4512077-L4K9V1;Resolved;24/01/2025;24/01/2025;Zineb Makrane;Adatia Amine;Base Warranty;Numeric Error Codes;31.43;;CX52x;MC2535adwe;Phone;;;;7529903141YDH;1;0
North America;Canada;Call Center : Rabat CA;CAS-4517593-R8R0W3;Resolved;27/01/2025;27/01/2025;Zineb Makrane;Adatia Amine;Base Warranty;A Specific Problem Code Not Found;Specific Problem Code Not Found;;CX52x;MC2535adwe;Phone;;;;7529903141YDH;1;0
North America;Canada;Call Center : Rabat CA;CAS-4726382-D5Y9S8;Resolved;31/03/2025;31/03/2025;Ziyad Ouaddi;Advanced Custom Systems;Base Warranty;Connectivity Issues;Wireless Loss connectivity;;MX43x;MX431adn;Phone;;;;701903900119W;1;0
North America;Canada;Call Center : Rabat CA;CAS-4666214-G9V8G5;Resolved;12/03/2025;12/03/2025;Badr Eddine El Alami;Alana Berenhol;Base Warranty;Software;Connectivity Issue;;CX23x;MC3224adwe;Phone;;;;3500023013Y8P;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458008-G5J6B9;Resolved;08/01/2025;09/01/2025;Hicham Imam;Alberta Health Service;;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4445021-C7Q1K0;Resolved;05/01/2025;07/01/2025;Adam Es-Salmi;Alberta Health Services;;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457911-C3J4F9;Resolved;08/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4530330-R0X0P8;Resolved;30/01/2025;30/01/2025;Mohammed El Hachimi;Alberta Health Services;Base Warranty;;;;MX53x;MX532adwe;HDIS;;;;7020431307FWP;1;0
North America;Canada;Call Center : Rabat CA;CAS-4665321-S9Y8N6;Resolved;12/03/2025;17/03/2025;Mohammed El Hachimi;Alberta Health Services;Base Warranty;;;;MX72x;MX722adhe;HDIS;;;;74644291283YT;1;0
North America;Canada;Call Center : Rabat CA;CAS-4613757-T7G6H2;Resolved;25/02/2025;25/02/2025;Adam Es-Salmi;Alberta Health Services;Base Warranty;;;;CX73x;CX735adse;HDIS;;;;7530410512H4X;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457872-T1Q3S4;Resolved;08/01/2025;08/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457876-C6C1N2;Resolved;08/01/2025;09/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457880-D6V1M6;Resolved;08/01/2025;08/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457881-Y5D8M1;Resolved;08/01/2025;08/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457886-D9V5W0;Resolved;08/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457891-W9M4H5;Resolved;08/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457895-P7B7W0;Resolved;08/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457927-C1X6R5;Resolved;08/01/2025;09/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457931-B7D4N4;Resolved;08/01/2025;09/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457934-Z8L1G7;Resolved;08/01/2025;08/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457962-F1T9V3;Resolved;08/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457963-G3L2M7;Resolved;08/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457973-D6T5K1;Resolved;08/01/2025;08/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
